,a,b,c,d,f,h,e,g,i,j,m,k,q,n,o,l,r,t,p,s
a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
c,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
d,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
f,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0
h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
e,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
g,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
i,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
j,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
