a,b,c,d,e
0,6.388936947623991,7.171949178246955,-18.21432736191553,-8.567297946344551
1,2.169850480348587,5.838197610973969,-11.11142375469775,-15.91150991054612
0,3.87230434428544,5.559646129672716,-13.631933759875103,-13.113363894314427
0,6.095784336320232,6.809636312215213,-15.581550586947223,-9.275044119177835
1,2.9486560133049395,6.519435794920807,-12.019318104130676,-15.002985782791821
1,4.543821392066556,4.624833782097167,-10.601809524459522,-13.837980851534017
0,4.317464288107816,5.110643177551603,-9.480628306661103,-12.155763748497858
0,6.215045576270711,4.281613635171295,-9.872984832240194,-8.134358998446368
0,4.891485816805452,5.80963255153663,-12.537379454339463,-13.548793794044563
0,5.018228823322695,5.834846015903456,-14.676101423171248,-10.56961521876184
0,6.324718021669904,7.564385646058031,-16.279209005968713,-9.657698465376324
0,4.3982295225558286,6.704713744450151,-12.861018095067193,-10.426762301327068
0,3.8188779040750416,5.418591558371389,-10.272401982606565,-12.873647688534891
0,4.311435791971645,4.971585534428355,-9.329857946328016,-9.734159016592027
0,5.2123339506431385,6.425574766880169,-14.934032159994969,-10.974961961375884
0,3.1942409278194854,4.363087645141818,-6.0930852720156965,-5.6958393422093385
0,5.397470902651121,6.0352922179352335,-14.24023124207983,-9.538888689573636
0,4.2212286823822565,6.411175231799541,-11.974087518984073,-12.406601162453015
0,5.907812660733564,5.744291237592029,-14.987461488379054,-8.539978592200324
0,2.365739695099528,5.265863280694256,-9.74957868163057,-14.892592826201613
0,3.973434224895831,5.9735871656381345,-10.190310273127723,-11.938898386961954
0,3.0735318487658976,3.8734447442274456,-7.386431482185481,-7.413326566909355
0,3.9337705336360473,6.249454805708146,-11.305912406444504,-11.6612937484769
0,5.007665901108943,6.532552613948155,-13.507582037692758,-8.956882493408031
0,4.580773374550245,5.713928042138785,-11.985389525108411,-12.127643425487982
0,4.5066224310519845,4.811120206119379,-8.869319937698574,-10.62297300472751
0,4.600815128619939,4.763217848306798,-10.483497463184268,-12.216796372796423
0,4.963388240619944,5.2732993082193484,-13.288568791703678,-10.122877578382367
0,3.751463958056892,5.723355721481544,-11.845886924128191,-12.011859490189899
0,5.466849640899051,5.1171366458661085,-11.203481165231358,-9.967547233415832
0,5.422665970385483,6.487298553220322,-13.6977363257379,-11.418153836361606
0,5.145037937656101,4.663664198702779,-12.201223031764059,-9.692620056549858
1,3.696533442751263,6.088128805791808,-12.57511608751975,-15.07406408334882
0,5.05641800080866,5.968985114994512,-13.395865990125618,-9.579471790306496
0,6.795073302731067,9.208568262479073,-20.607303872640806,-5.870388610588757
0,4.67290582894749,4.2825953755323285,-10.86072254584372,-10.698850254544796
0,4.452916781665423,7.0175312929561535,-14.645379842978574,-11.113970460798715
0,4.006472419642622,5.463208072201443,-11.581259123121939,-12.61951279845292
0,3.7277373294221627,5.579595329315488,-9.996532062551857,-14.329002202974065
0,3.5155282123989244,5.176422583835645,-9.03884804365467,-11.57510698161422
0,3.8712026867690814,5.687752215315155,-11.24983808010934,-13.43316579919524
0,4.689319618347929,5.514761097178905,-12.037723311860393,-12.637514834756345
1,3.4742951284977144,7.63068364827627,-14.165989218314246,-12.618794818470661
0,4.811142058552162,5.275322726222401,-12.171112971391281,-10.720800168318936
0,3.994464722570287,6.439356227915797,-13.685610582988325,-11.88067384958892
0,5.660184564019963,5.528928853077359,-13.610547514220885,-10.161439129217987
