a,b,d,e,i,n,c,g,f,j,m,h,l,k
0,-1.335603517369341,-0.5796042743877814,-0.11936619927687682,2.3724072253604724,-4.229781360564937,-3.946561386187038,3.0514681265092056,-3.822592023415875,-1.8009995031143147,3.9955970631444178,5.654737157625365,-4.525842448673573,9.34289283779289
0,-2.3437789201521295,-0.25740554827384776,0.5502024960264408,0.19632508360023948,-4.7769599756060215,-4.314945290902828,2.3859476209476056,-4.329009628355244,-0.8852347540398489,3.5014987568444402,7.362807910887368,-4.115559770589723,11.850114013603546
0,-1.6103633939830062,0.5549473786464456,1.2487577724105066,0.28644027056528265,-6.298806709269972,-3.2554714957027953,1.1873980796264831,-4.926907028325344,0.07020634366571704,4.211373930820808,3.9855947892258596,-2.0832103183371085,8.816938766745658
0,-2.1432986496534916,-1.2167153919462081,-1.4973731700945367,1.1614138669939904,-3.9581866056791126,-3.549768329537961,5.453029012971135,-6.243066691764631,-3.5671063783742447,0.9117494392150958,7.935307602267502,-5.625682380902912,12.36687832636455
0,-3.163388041921848,-0.6527721635784233,0.9738190717173091,2.1963040623077297,-4.903953143860812,-4.347506149717112,4.177621878707695,-3.925621870032095,-2.905887256460363,4.0009848191772885,7.943203126080061,-6.910527628302102,12.635502710131997
1,-0.5960344206913037,1.624807871505905,-0.4017013268617443,3.375170492728666,-6.231991523826991,-1.4415737752809776,-1.6320384669305423,-5.075452454906527,3.3551610005416244,2.630802985441445,3.006769265301206,-2.4480040139285753,4.8355920081691135
1,-1.1179802559844048,-0.8046169630679267,0.4500642047336645,1.0030858343981381,-4.830063834199209,-4.1773084737293456,2.1911871888296197,-3.980275457724247,1.229468960415971,2.681940174329381,5.195816243791023,-4.7796355019662595,8.954708378999012
0,-2.0057876218958017,-2.0163961033185487,1.1091698114921316,2.047488311921,-4.679197915143985,-5.545012125132566,4.352743202067347,-4.752079016615244,-5.77168882020581,2.258915936377565,7.419419270000245,-3.278847872731287,9.99893284582777
1,0.039217496710792776,1.746301756563291,2.8992736105559733,1.7939509744438749,-6.214982938725642,-1.5825091649411698,-1.922376003852633,-2.522844840194501,5.129191062991185,2.689271684171165,4.012709398095081,-2.679361251605562,7.536734862589109
0,-0.48856179819642653,-1.764766013817714,0.05741007143815779,-0.20250747330005425,-3.7093267056725745,-2.6125547561068023,6.485880943430894,-5.923990663792691,-5.71654728595475,4.173055637788412,8.201299997071072,-4.816092378422924,12.97533363681658
1,-0.38342733139046625,0.056037321952219,-0.7269620577511314,3.9813358160823675,-6.359790326297198,-3.4408208210412425,0.6391608865105951,-2.6451024427045,1.2174528547664136,2.420670759298872,6.0476002897297905,-4.799183881002019,9.279685074481607
0,-0.8003347329562227,0.3093363324744892,-1.176200316643433,-1.027290491729981,-5.384465241925353,-2.80090611423628,1.0982744967939242,-5.254479441558355,0.5559641429816006,3.8052393798889392,7.602346777972525,-5.184508144263819,12.880812304846518
0,-3.1537406977820073,-1.2514830267828836,-0.3856299815231613,0.2744277138569846,-5.516809105393074,-5.536992360458294,4.36859513224523,-5.863371897317804,-3.163724828189437,4.037492416625861,7.492773412787534,-4.760023484208802,10.76183056119848
1,-2.2063476602653327,0.1587523532536242,0.5169741237937869,2.797058729395744,-4.5020011954461365,-6.647531494819293,2.1602294177283845,-2.918179555959137,2.1862379716397857,1.3251546746086293,6.0136878966206435,-6.141062120482015,8.31085998050176
0,-1.1191617736494703,-0.6220133739489111,-0.774651856262063,0.7294813793513385,-3.52990715335645,-2.909354804008248,2.433039261180508,-5.308226061568169,-1.2020054571791474,3.528419307943679,6.75365273731506,-2.856809181481275,11.232114912730388
0,-2.229226625449755,-0.5880741126273425,-0.10495815600017268,0.5865606826893396,-3.902517295614475,-4.915227311742126,3.158445245133069,-6.2827191798969535,-2.491381221705404,1.1721543506384415,5.058374613633137,-4.4397695144962945,9.769344847750418
1,-0.7714240854881937,2.2229548077317522,1.1451280673480089,1.2248154194676826,-6.291891771543041,-4.362866397860384,-2.589462551199005,-4.391446072237973,4.905452609143832,2.9098492039798702,2.21201932028187,-0.10119526521914501,3.4339210805126115
1,-0.7360917885424463,1.9268743984986076,1.6329605732494479,2.5743206593819163,-6.729413066706134,-5.249346910714805,-2.179459824869822,-1.7327203851409634,4.867622289007106,2.1383957475441093,3.8247979030173465,-3.0341290484205907,7.222821687203366
0,-2.146178936923332,-0.7344361677043544,1.0473152860737585,1.442679446029004,-4.5142995438351505,-2.907964905912263,2.997692102215832,-2.4557984625619387,-4.775816917476316,4.9516562016279835,6.331100265699552,-2.3735038144818783,11.873144467301948
0,-1.8327688051894753,-1.037523412193519,0.960734307594464,1.6114204127299685,-6.066043331573148,-4.4466365699196,3.7640328489879757,-6.513969319738454,-2.648494197514893,4.216402587135377,5.566264394770492,-4.8467041582878965,8.980275775087405
0,-2.9605748839214483,-1.4023370644127087,-0.45343829836859284,0.8938438038846422,-4.289690091690327,-4.718518846359205,3.674583069063303,-5.060423970226325,-2.5635193599847335,1.4517051226657418,7.543596901108291,-3.17539528635277,11.431043888951676
1,-0.9584798218267916,0.5394817154636063,0.7845844370238783,2.4410472004885544,-5.25255958469674,-4.411610941944088,0.5664514992107128,-3.959704380118775,2.4783632302664556,1.061349676353026,4.711059955789881,-3.363235234041425,6.735753528587546
1,-2.3526521168344643,0.09197087189557793,2.132355263473361,0.4258567768710042,-6.480868917856318,-6.093531300134297,-1.6899222876301583,-3.671104631802845,0.967999853758929,4.681737444018227,2.9220426753993958,-4.238832483823188,6.326329651362654
1,2.1288536793675354,0.636843470388023,0.7026952252532708,2.2336340495106697,-6.037722143252703,-0.6867807187888826,-0.6337241178084527,-4.549977489627313,3.1490940964141494,2.7497255206336453,5.03262800188585,-2.9949556403564874,7.192916643243156
1,-2.88090582584753,1.9573939976033294,-0.9654632484578579,3.7035099684593704,-5.367527632896844,-5.197374589367499,-2.215326823925171,-3.658021750196875,5.440955991219904,2.4452294266504233,4.266841294765654,-2.910199325235189,8.042690584276217
