a,b,d,e,i,n,c,g,f,j,m,h,l,k
2,3.535276111588263,1.558325616312708,-1.6523741249844834,3.6663430343407315,0.8637209270437923,-6.4592569008417575,-7.831746458595343,-6.3151913208747485,6.818595311818194,8.56304559665847,-9.119233773983188,0.06629493978337342,-1.769854525357541
0,-1.4237344353990602,-1.5622488412767674,1.6374213789555558,3.5612380445689467,-2.5629783125670036,1.4334479780747225,-4.293777411773214,-2.1061231976313906,6.500387525639168,-9.799786349737285,-7.895159762509851,-1.7497737024640512,0.0025008902859400897
0,0.44632214754306365,-0.6504371970703429,1.7585987061150372,2.8485786206815167,-2.352226012920283,-2.0397848072642693,-4.041010193185947,-0.7780751695895175,5.505376025605808,-3.303182356580575,-5.56154137287374,-3.3903019258543634,0.8741909861837347
0,-0.8065989043073726,-0.3079687027594258,1.0019284715065009,3.1393839389384093,-3.816810401940166,-0.7654047838902409,-5.378923167104192,-2.9964320123551444,4.640351433470722,-3.4153850615980934,-7.298367712819163,-1.659738454279788,1.938270454522852
0,-1.2826346502605217,-0.3310112836599903,2.2121293738814383,2.390790740684917,-2.638979314351982,0.36732874284981254,-2.6678931983456313,-1.4169294374204866,7.924600329528555,-8.326258335070087,-6.3184065688263695,-0.9796536345597198,1.1508563386336608
0,0.7138201364823995,0.7236804787567017,4.59424464841542,2.712698303236714,-1.9675672966311506,-3.8632372426470387,-2.1798543140039284,3.034382042405877,4.534386200584095,-4.704031454856285,-5.6492960770153395,-3.9728674428189477,0.8637555345865806
1,1.8916445216767512,0.34872957499655466,-1.6369866393260752,3.0175341800536346,-0.029622142377107807,-5.260449735822433,-6.039034713514359,-5.0515070781315226,3.1252778111409665,6.55571924532547,-7.903551370351242,-2.1409392711726447,-0.15152771529383574
0,-0.6139768013928971,-0.05796552819707573,2.0040125241899798,2.865098135819036,-2.7312301662346385,-2.148423431375492,-3.1404918132847426,-1.7518012245392156,8.559267201710085,-5.011857943292449,-6.269414410213563,-2.931557655824695,1.6879707709013527
0,1.4511788490210642,-1.398627149434606,0.9198099113810944,3.4225398075827607,-0.3026238797675034,-5.484904787827412,-3.955334547044427,-3.014993044526593,6.735826216861719,3.745826612445777,-6.472031199926484,-2.816304952132825,-0.07116043613391321
0,-0.44065242156974244,0.04031727804381302,2.25740257751925,3.205145681944831,-2.6445560241798005,-1.2351310739504582,-3.1456784462123974,-1.4021576640857272,4.850057051741343,-6.0883064479392575,-3.7700932264079623,-1.2997024282753622,1.243286379808853
0,0.03210767397093466,-0.4068914498143632,1.7265574733278608,2.694217002900183,-2.6430918015851748,-2.049758513714274,-4.168610958683184,-0.6290849139407482,5.8726649824459685,-5.453265558026782,-6.923446096197062,-1.22431910727816,-0.7147608709213618
0,0.2689134476786009,-1.1598133382845175,2.441854774042463,1.8408740150589602,-0.42264244810219775,-1.8815154767178144,-4.5373971568303135,-1.5462703384019894,7.312092757472251,-5.782042403732831,-6.741945603470697,-1.3434161427016988,1.8514834555846806
0,-0.6196659341286136,-0.6458293621748528,2.8555065765087795,2.7176712580627096,-1.7485398476360827,-0.7701592019862077,-2.524799518302485,0.28199013625596075,7.967495567912605,-8.08388183675396,-7.501068325649106,-2.2940024627927045,0.5821570727938996
