,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
c,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
d,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
e,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
f,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
g,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
h,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
i,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
j,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
k,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
l,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
m,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
