a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
0,-0.20030829467999778,-1.0815833272789421,0.07428114605288871,3.2918333710375585,-3.1588259397285943,5.398184079944488,-10.510488178674088,-23.92264602007665,-19.83294664303955,-24.287631951250653,41.135419407283756,20.34819756809588,23.629632953798847,-17.675689258549053
1,0.5125531837262669,-4.204340097517711,-2.251853354494756,2.976244502815052,-8.679183686759021,17.116071380602822,-24.139519933610078,-32.78745455388552,-15.5206187277778,-38.77314828408585,57.34394263318606,20.564616192039562,31.748844148685418,-33.43921825647562
0,-0.7374424899181674,-2.6669232363181568,-1.3780707725123658,4.590884417460681,-4.965460486446387,9.961612753402612,-20.763165929879268,-31.94432887090187,-10.320964367261695,-32.26033238314565,51.091036454078726,23.49346685127929,32.37120972184387,-36.30559000019363
0,0.9982761071492624,-2.3122934553202574,0.3145189469481451,0.5821085095049658,-3.3349872356540815,3.590041883518741,-11.139382327367242,-15.76972966250902,-21.820075256019205,-25.010754581485575,42.00369440485985,13.296930617784296,19.95483190594666,-9.473448046858708
0,-1.2122074452947178,-3.2191681575046305,-2.5989633476269596,4.385988385360766,-8.114500006042595,17.046953866266158,-24.939531302869767,-34.9427753160158,-12.286173935836992,-34.11092919531763,56.47169147600302,21.690555380371105,31.59733182721812,-37.84680785357047
0,1.4702981705240785,-0.9513190652776823,1.5365659357608312,-0.8619878911438317,0.22761597347030973,-6.9736448606501,6.513848828254991,25.37893443289112,22.509321364295214,11.862696596962063,-39.12540814644837,-14.934763847790702,-19.016830176724543,16.445720424779452
0,-0.8154314492280993,-2.235802786110174,-1.4943332618918217,5.001771325641358,-4.69943372923316,11.3933808679484,-20.0573309701728,-33.05030047483795,-9.105332506253259,-31.629116501798514,50.19977525032112,24.008632998111715,31.997262490168747,-35.37491227661514
0,-1.8670164449702282,-2.2290479432359445,-2.569676825256879,6.338033818600791,-7.258542243623714,20.136458557595624,-22.45965509778954,-37.42541626081312,-13.231912333175087,-31.129394577882366,50.820437664564736,23.735102595410865,35.06451061042254,-43.91558839888104
1,0.47991958099482535,-3.9012244445174855,-3.4482709862566576,0.4102128832722567,-8.708948522489788,18.952083782421273,-25.14770471057817,-31.054370804129736,-20.146792609884542,-38.8561302663667,56.04476988835441,17.025775465702942,27.894475950290452,-34.837690330644755
0,-1.6662452003187682,-2.293310913040763,-2.133632942837339,5.63318876606319,-6.115401091815576,15.44602717717705,-21.716906362692022,-36.43051784116008,-11.696160553417284,-30.01514934697188,52.02644665035631,23.243965877014528,36.366801439475346,-39.89895288149519
0,-1.3417558478135003,-3.1052984076160337,-4.002711114748043,5.2673938100960545,-9.917897690334431,21.90361240392243,-23.693777101582672,-39.33267809564997,-16.375528995279307,-33.262705586566504,57.63102047987766,22.701750535651705,35.70050120694184,-45.00864570625051
