a,b,c,d,e,f
1,6.401816619300824,-7.634788743992495,-1.3034113439135826,13.957801401750695,-24.544374885315044
1,4.097792554705283,-5.836803798315399,-5.259268582912714,10.89021619349651,-21.596282078226324
0,5.056186100012171,-4.653466871274306,-1.385435124808452,10.328141789224116,-22.1007947240754
0,4.82467921540253,-3.5778374376438253,-2.5635973538292713,6.484100200650188,-17.20853865678226
0,3.750917278032699,-3.9957494651648906,-1.9261521146470546,7.108623767189671,-13.942174813391146
0,3.1421058919223444,-2.698746298994988,-4.380436307505721,7.537338900762642,-15.181436472857198
0,3.181228682382257,-2.5676486833123437,-1.4609261852707152,6.196135595463763,-14.137309977006165
0,4.109691705320002,-3.568971558110146,-2.338397133141494,8.097545920652118,-17.806619875354677
0,4.268738818864127,-6.140801408232996,-4.39748061456842,12.297214984721125,-19.09292624624109
1,3.797113558104733,-5.769173485259682,-5.153425641950619,10.547395792814868,-21.309350094010718
0,4.571285574844789,-6.079243772951854,-4.763008550840634,12.79084858103405,-21.84913231128542
0,3.7314512916706546,-3.296272930412372,-2.8712926519152107,7.098858394064239,-15.038803794517078
1,2.860164593454372,-4.190588830111855,-7.437651249069058,10.005496423751811,-20.44076962697085
1,5.2755820886501255,-8.34343131078916,-6.059211599400845,14.718985122345506,-24.012502019509192
0,3.5458272661950425,-3.0614596009047643,-0.8734718122510268,8.206655752483464,-18.229116698983763
1,4.945559839510182,-5.123738283057454,-3.088066811961992,9.803698626984092,-21.555961625399743
0,4.051040154996196,-6.048844816830632,-5.197394186522163,14.377881837820023,-18.87947415980844
1,4.850764187911545,-5.5155087794148425,-4.8960960959058095,10.488383596978474,-21.30763180871141
0,3.0833847168977644,-4.52490395934516,-4.692092514251894,10.436606202863008,-17.207326195446456
0,5.51756116664464,-8.581756499836874,-7.173013826447217,19.461830686161885,-23.215993072272408
0,4.65083822635053,-5.381594685941095,-3.575878367411058,11.40708502351546,-19.868831807974704
0,3.530076158977743,-3.9420936110309213,-4.843357165069641,9.848844206935064,-18.922632030226197
0,3.446149494453763,-2.5835075856254397,-2.470858222923783,8.219041240192764,-14.929741841525178
1,4.311611372745274,-6.0745364909532285,-6.92446531188218,10.719270056814183,-21.6962769717673
0,3.51889534548117,-5.047656046508346,-4.0307868567883585,10.757531282890417,-20.110636873735018
0,3.4095160238040565,-4.013213446103451,-3.057601104104196,8.731863929432569,-16.02708316493511
0,5.336874398498608,-5.371607400813757,-1.5495421578134387,10.437750391903347,-23.281412079063998
0,4.2684279208298,-3.5111460609439087,-0.7453329332857309,8.75913423190115,-20.01917326902322
0,4.144965897436149,-5.3041112881208745,-2.4718947700692513,12.124809147722875,-20.139435775531474
0,4.4057490352746616,-7.383200033455921,-5.776096180193905,15.961067132125867,-21.41479925856561
1,4.3962082957134,-7.058792871629856,-6.539888041017448,13.421247478202952,-21.717181411504196
0,3.284592527056038,-3.6977630365204823,-3.851389051025593,7.308021322682954,-16.693570286002583
1,5.606393959567953,-6.841656530185819,-4.450040849839333,13.958437283762455,-22.546792794873145
0,3.89196033243706,-5.013799659899922,-2.965441916532022,11.736700010195023,-20.727469438543977
